v0,seed,T_evac,J,J_over_v0,N_exited,N_injured,N_stuck,cleared,wall_s
6.0,15,135.08974358974362,1.154787890291354,0.19246464838189234,156,8,36,0,8.89
6.0,13,231.99893617021277,0.8103485434177523,0.1350580905696254,188,11,1,0,9.43
6.0,19,142.35409836065574,1.2855267400617256,0.21425445667695428,183,15,2,0,6.18
5.5,11,400.0,0.16,0.02909090909090909,64,6,130,0,28.54
6.0,3,197.42122448979592,0.24820026380969315,0.04136671063494886,49,8,143,0,24.58
5.5,15,400.0,0.06,0.010909090909090908,24,7,169,0,29.49
6.0,8,284.4397101449275,0.24258216254278692,0.04043036042379782,69,10,121,0,21.73
6.5,3,208.7049723756906,0.8672529357574731,0.13342352857807277,181,15,4,0,9.07
6.5,5,114.34971428571427,1.5303929799312388,0.2354450738355752,175,17,8,0,6.05
5.5,14,381.52880000000005,0.013105170566415955,0.002382758284802901,5,9,186,0,34.12
6.0,11,400.0,0.155,0.025833333333333333,62,10,128,0,24.57
6.5,10,103.66875,1.6977150780731898,0.261186935088183,176,12,12,0,5.59
6.0,9,382.1290909090909,0.028786083712786254,0.004797680618797709,11,16,173,0,32.53
6.5,4,400.0,0.23,0.03538461538461539,92,24,84,0,21.0
6.5,12,249.53283582089554,0.5370034751505799,0.08261591925393537,134,16,50,0,11.89
6.0,18,400.0,0.105,0.017499999999999998,42,12,146,0,26.52
6.5,1,134.0888,0.37288722100578126,0.05736726477012019,50,18,132,0,25.37
6.0,14,400.0,0.02,0.0033333333333333335,8,13,179,0,34.09
6.5,2,400.0,0.095,0.014615384615384615,38,19,143,0,26.78
6.0,17,304.20200000000006,0.01972373620160288,0.0032872893669338133,6,13,181,0,34.47
6.5,16,154.22619047619048,1.089309147047472,0.167586022622688,168,14,18,0,7.72
6.5,15,287.85945945945946,0.514139782927104,0.07909842814263139,148,13,39,0,13.45
6.5,6,400.0,0.0675,0.010384615384615384,27,24,149,0,29.18
7.0,2,212.0961038961039,0.7260859448669434,0.10372656355242049,154,24,22,0,8.12
6.5,0,73.5994,0.027174134571749223,0.004180636087961419,2,22,176,0,36.3
6.5,7,400.0,0.0625,0.009615384615384616,25,19,156,0,30.28
6.5,8,400.0,0.055,0.008461538461538461,22,18,160,0,30.92
7.0,1,173.61351351351348,0.8524682036832357,0.12178117195474795,148,22,30,0,11.19
